,id,age,detailed industry recode,detailed occupation recode,education,wage per hour,marital stat,race,hispanic origin,sex,full or part time employment stat,capital gains,capital losses,dividends from stocks,tax filer stat,detailed household and family stat,detailed household summary in household,num persons worked for employer,citizenship,own business or self employed,veterans benefits,weeks worked in year,year,y
0,0,33,34,26,0,0,1,4,5,0,5,0,0,0,2,32,7,6,1,2,2,52,95, 50000+.
1,1,63,7,22,7,0,0,3,5,0,5,0,0,0,3,1,4,4,4,0,2,52,95,-50000
2,2,71,0,0,15,0,1,3,5,1,4,0,0,0,0,3,4,0,4,0,2,0,95,-50000
3,3,43,43,10,1,0,1,3,5,0,5,0,0,0,2,32,7,6,4,0,2,52,95,-50000
4,4,57,40,32,7,0,4,2,5,0,5,0,0,0,1,3,4,6,4,0,2,52,95,-50000
5,5,42,16,4,0,0,1,4,5,1,0,0,1902,165,2,3,4,6,3,0,2,52,94, 50000+.
6,6,16,0,0,2,0,0,3,3,1,0,0,0,0,3,22,0,3,4,2,2,3,94,-50000
7,7,16,33,19,14,0,0,0,4,0,5,0,0,0,5,22,0,0,1,0,2,0,95,-50000
8,8,20,5,36,10,0,0,3,5,1,1,0,0,0,3,3,4,1,4,0,2,24,95,-50000
9,9,38,0,0,1,0,1,3,5,0,0,0,0,125,2,32,7,0,4,0,2,0,94,-50000
10,10,34,0,0,7,0,6,3,5,0,4,0,0,0,5,8,5,0,1,0,2,0,95,-50000
11,11,39,37,5,1,0,1,3,5,1,5,0,0,5000,2,3,4,2,4,0,2,52,95, 50000+.
12,12,62,0,0,15,0,3,3,0,1,4,0,0,0,5,16,3,0,3,0,2,0,95,-50000
13,13,25,0,0,10,0,1,3,5,1,0,0,0,0,2,3,4,3,4,0,2,52,94,-50000
14,14,30,24,26,1,0,1,3,5,0,0,0,0,150,2,32,7,3,4,0,2,52,94,-50000
15,15,35,45,11,11,0,1,3,5,0,0,0,0,0,2,32,7,6,4,0,2,52,94, 50000+.
16,16,40,30,38,10,0,6,1,5,0,0,0,0,175,1,3,4,6,4,0,2,52,94,-50000
17,17,34,0,0,1,0,1,3,5,0,0,0,0,0,2,32,7,0,4,0,2,0,94,-50000
18,18,80,0,0,7,0,1,3,5,0,0,0,0,1000,0,32,7,0,4,0,2,0,94,-50000
